2^2	0.008
2^2	9.69697e-05
2^2	6.66667e-05
2^2	0.000666667
2^2	0.00106667
2^2	0.00177778
2^2	0.0016
2^2	3.16832e-05
2^2	5.2459e-05
2^2	0.00123077
2^2	0.000888889
2^2	2.63591e-05
2^2	0.00177778
2^2	5.7554e-05
2^2	0.00145455
2^2	9.7561e-05
2^2	6.27451e-05
2^2	2.96846e-05
2^2	0.002
2^2	2.22841e-05
2^2	7.69231e-05
2^2	0.0001
2^2	1.72228e-05
2^2	0.000142857
2^2	0.00177778
2^2	0.00145455
2^2	8.42105e-05
2^2	1.40845e-05
2^2	2.18878e-05
2^2	0.000119403
2^2	1.71858e-05
2^2	0.000149533
2^2	4.5584e-05
2^2	2.46533e-05
2^2	0.00114286
2^2	0.000192771
2^2	0.00145455
2^2	7.30594e-05
2^2	5.22876e-05
2^2	0.000144144
2^2	0.000103226
2^2	0.00177778
2^2	0.000118519
2^2	0.00145455
2^2	0.000125984
2^2	7.80488e-05
2^2	2.43531e-05
2^2	0.000120301
2^2	0.000111888
2^2	0.00025
2^2	2.30216e-05
2^2	0.0016
2^2	0.000126984
2^2	0.002
2^2	9.63855e-05
2^2	0.0016
2^2	0.00016
2^2	3.80048e-05
2^2	5.42373e-05
2^2	0.000170213
2^2	1.41718e-05
2^2	5.71429e-05
2^4	0.0213333
2^4	0.032
2^4	0.0106667
2^4	0.0013913
2^4	0.00914286
2^4	0.000888889
2^4	0.0128
2^4	0.00290909
2^4	0.016
2^4	0.00156098
2^4	0.00492308
2^4	0.0064
2^4	0.00130612
2^4	0.00711111
2^4	0.00581818
2^4	0.00711111
2^8	0.1024
